"","no","Location","PlotID","seed batch","treatment","Sowing","141","161","171","183","190","197","204","211","217","227","231","239","246","255","259","267","273","281","288","295","309","323","336","283","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43"
"1",1,"Aber",1,"Sin55_primed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,10,11,9,10,7,0,0.333333333333333,2.8,5,4.8
"2",2,"Aber",1,"sin55_unprimed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11,10,10,10,9,3,0,0,2.2,4.42857142857143,4.2
"3",3,"Aber",2,"Sin55_primed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,2,0,0,0,0,0.6,0.75
"4",4,"Aber",2,"sin55_unprimed","none",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,13,11,3,0,0,1,3.4,4.25
"5",5,"Aber",3,"Sin55_primed","Film",2,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0.333333333333333,0.4,0.25
"6",6,"Aber",3,"sin55_unprimed","Film",2,NA,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0.666666666666667,0.6,0.5
"7",7,"Aber",4,"Sin55_primed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,0,24,23,20,17,35,38,32,32,37,38,40,39,42,52,0,8,13.4,17,16.8
"8",8,"Aber",4,"sin55_unprimed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,0,36,35,32,30,30,33,35,35,72,74,76,75,74,78,0,12,20.6,23.2857142857143,26.6
"9",9,"Aber",5,"Sin55_primed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,3,5,4,3,3,3,1,0,1.33333333333333,2.4,2.71428571428571,3
"10",10,"Aber",5,"sin55_unprimed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,11,8,6,4,4,4,2,6,3.66666666666667,6,5.71428571428571,7.2
"11",11,"Aber",6,"Sin55_primed","none",3,NA,NA,0,1,3,5,2,4,4,2,1,3,3,3,2,4,4,6,6,6,6,6,5,0,0.5,2.25,2.71428571428571,3
"12",12,"Aber",6,"sin55_unprimed","none",3,NA,NA,0,4,21,30,26,27,32,23,34,43,40,43,43,44,44,50,48,51,51,52,59,108,2,13.75,20,21.6
"13",13,"Aber",7,"Sin55_primed","Film",3,NA,NA,0,0,1,1,2,2,3,4,3,6,5,4,0,5,5,6,8,7,7,8,7,14,0,0.5,1.28571428571429,1.2
"14",14,"Aber",7,"sin55_unprimed","Film",3,NA,NA,0,0,2,19,18,28,30,27,36,68,66,64,63,77,77,98,100,94,95,93,87,171,0,5.25,13.8571428571429,13.4
"15",15,"Aber",8,"Sin55_primed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,3,3,8,6,7,6,5,3,0,0.5,1.25,2.71428571428571,2.2
"16",16,"Aber",8,"sin55_unprimed","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,9,9,16,15,18,12,8,3,0,0,1,5.42857142857143,4.4
"17",17,"Aber",9,"Sin55_primed","none",1,0,5,2,2,0,2,2,5,4,3,6,11,12,12,15,15,15,20,20,19,19,19,17,37,0,0,2.33333333333333,2.33333333333333
"18",18,"Aber",9,"sin55_unprimed","none",1,0,7,3,3,3,5,6,7,9,6,6,16,18,18,19,20,20,31,33,32,32,33,26,34,0,0,3.33333333333333,3.33333333333333
"19",19,"Aber",10,"Sin55_primed","none",1,0,3,3,3,2,2,1,3,2,3,3,7,7,7,7,8,8,12,12,11,11,11,13,33,0,0,2,2
"20",20,"Aber",10,"sin55_unprimed","none",1,0,7,7,9,6,10,8,9,8,9,13,17,17,17,19,25,25,31,32,29,29,31,28,104,0,0,4.66666666666667,4.66666666666667
"21",21,"Aber",11,"Sin55_primed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"22",22,"Aber",11,"sin55_unprimed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"23",23,"Aber",12,"Sin55_primed","Film",2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,"Aber",12,"sin55_unprimed","Film",2,NA,0,1,8,2,3,3,3,3,4,5,9,8,8,8,8,8,16,15,17,16,15,16,67,0.5,3,2.8,2.75
"25",25,"Aber",13,"Sin55_primed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,13,12,11,8,7,2,0,1,3.8,6,6.2
"26",26,"Aber",13,"sin55_unprimed","none",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,42,42,43,39,40,23,0,1,9.6,19,18
