"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"1","V2",1,"P",7,7,0,"none",7,"Aber",0.6,1.333333333,2.333333333,"2013 Dat",4.2,4.2,NA,NA,NA,NA,NA,0.333333333,2.8,5,4.8,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"2","V3",1,"NP",3,3,2,"none",7,"Aber",0.4,1,2,"2013 Dat",1.2,1.2,NA,NA,NA,NA,NA,0,2.2,4.428571429,4.2,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"3","V4",2,"P",0,0,NA,"none",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0.6,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"4","V5",2,"NP",3,3,NA,"none",8,"Aber",0.3,1,1,"2013 Dat",0.9,0.9,NA,NA,NA,NA,NA,0,1,3.4,4.25,NA,NA,NA,NA,NA,NA,NA,NA
"5","V6",3,"P",0,0,NA,"Film",2,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.333333333,0.4,0.25,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"6","V7",3,"NP",0,0,NA,"Film",2,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.666666667,0.6,0.5,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"7","V8",4,"P",15,52,3,"Film",5,"Aber",8.1875,3.875,4.125,"2013 Dat",425.75,425.75,NA,NA,NA,NA,NA,8,13.4,17,16.8,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"8","V9",4,"NP",20,78,3,"Film",5,"Aber",9.285714286,4,4.357142857,"2013 Dat",724.2857143,724.2857143,NA,NA,NA,NA,NA,12,20.6,23.28571429,26.6,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"9","V10",5,"P",1,1,5,"Film",7,"Aber",3,3,4,"2013 Dat",3,3,NA,NA,NA,NA,NA,1.333333333,2.4,2.714285714,3,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
"10","V11",5,"NP",2,2,5,"Film",7,"Aber",2.5,1,2,"2013 Dat",5,5,NA,NA,NA,NA,NA,3.666666667,6,5.714285714,7.2,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
"11","V12",6,"P",3,5,7,"none",3,"Aber",4.5,5,5,"2013 Dat",22.5,22.5,NA,NA,NA,NA,NA,0.5,2.25,2.714285714,3,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"12","V13",6,"NP",8,59,5,"none",3,"Aber",9.4375,4.375,5.125,"2013 Dat",556.8125,556.8125,NA,NA,NA,NA,NA,2,13.75,20,21.6,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"13","V14",7,"P",1,7,5,"Film",3,"Aber",7.5,3,4,"2013 Dat",52.5,52.5,NA,NA,NA,NA,NA,0,0.5,1.285714286,1.2,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
"14","V15",7,"NP",30,87,2,"Film",3,"Aber",11.88461538,3.792307692,4.846153846,"2013 Dat",1033.961538,1033.961538,NA,NA,NA,NA,NA,0,5.25,13.85714286,13.4,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
